track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
0tBH1LgOYu7yWx6yyJcyFL,0.529,0.539,0.0331,0.355,0.29,0.348,0.558
0eVyU7CnlKmjzqyC7XNTZk,0.492,0.59,0.0313,0.00109,0.0023,0.271,0.179
4lmN6bo60CdadoGImyU9X2,0.562,0.847,0.0268,2.66e-05,0.0189,0.931,0.364
64B1CCKu87scinusGsUpWC,0.653,0.308,0.0474,0.636,0.0,0.0899,0.462
6ZTPEPVKQxtZmFOLrdOR39,0.69,0.623,0.0316,0.143,0.0,0.0892,0.971
6IVM1YYZq6K6NG6qqC26o4,0.404,0.988,0.193,0.00139,0.00419,0.125,0.38
5sTnepiKZelRpUmjAXNMVE,0.18,0.968,0.117,0.000183,0.758,0.332,0.373
3L3GwtfPpOl0Qbq3Md15fT,0.608,0.592,0.0409,0.469,0.909,0.0651,0.365
30096a5EMOSaF9c2aSa4TH,0.896,0.746,0.072,0.108,1.19e-06,0.139,0.752
20XepQLAx0psdctutoizL7,0.657,0.931,0.15,0.0157,0.11,0.277,0.493
70w09DCtrlBwveabyxe5R6,0.439,0.971,0.105,6.89e-05,0.00442,0.208,0.35
2HkQhmtuxALD6OkIY8YZW9,0.499,0.0189,0.0525,0.916,0.853,0.0898,0.373
4vLBnQtece15fFhqWxZvJP,0.546,0.453,0.121,0.382,3.9e-05,0.106,0.74
2NUnOffeuUnC9QMUPy4Bcv,0.442,0.946,0.0829,0.0552,0.000141,0.218,0.347
6uLIzpAcp0qCyeEREsiRBl,0.339,0.894,0.0555,0.000903,0.597,0.547,0.679
3xlQIritfJS4UBdDg1zMI4,0.75,0.505,0.0748,0.571,0.0,0.132,0.68
6c4ZbgwtaOfGe4ZPLbF3Uz,0.616,0.885,0.0388,0.0252,0.835,0.132,0.0519
5gk0dcTvWZGg7Tlq8PEfNe,0.594,0.568,0.0701,0.147,4.01e-05,0.339,0.407
5axUCaGmmqMGXyAg8BF1FF,0.339,0.0138,0.0337,0.992,0.902,0.0866,0.175
4DXGYUPycPAg8sjMY5QXpC,0.334,0.889,0.0821,0.0153,0.0,0.631,0.0798
71u8PJ0lvjs5RNaTMBXNCJ,0.766,0.722,0.177,0.149,0.0015,0.119,0.713
0Wium78nYXiKpv1sq7vebf,0.336,0.453,0.038,0.95,0.155,0.139,0.599
